Heurtaux,73,France,MKE Ankaragucu
Martin,73,Mexico,Mexico
Carole,72,France,RC Strasbourg Alsace
Brozovic,81,Croatia,Inter
Correa,81,Argentina,Atletico Madrid
Badji,72,Senegal,Bursaspor
Turan,76,Turkey,Medipol Basaksehir FK
Gonzalez,74,Mexico,Monterrey
Zappacosta,79,Italy,Chelsea
Maguire,82,England,Leicester City
Januzaj,79,Belgium,Real Sociedad
Sau,72,Italy,Sampdoria
Son,85,Korea Republic,Tottenham Hotspur
Blas,76,France,En Avant de Guingamp
Hahn,73,Netherlands,SC Heerenveen
Ghoulam,81,Algeria,Napoli
Idrissi,75,Morocco,AZ Alkmaar
Ribas,75,Uruguay,Club Atletico Lanus
Usami,74,Japan,Fortuna Dusseldorf
Oztekin,74,Turkey,Goztepe SK
Soucek,76,Czech Republic,SK Slavia Praha
Rajkovic,75,Serbia,Palermo
Jorgensen,77,Denmark,Huddersfield Town
Neuhaus,76,Germany,Borussia Monchengladbach
Mandi,80,Algeria,Real Betis
Svensson,74,Sweden,Seattle Sounders FC
Mushekwi,72,Zimbabwe,Dalian YiFang FC
Larsson,75,Sweden,Feyenoord
Marin,76,Romania,Standard de Liege
Baier,78,Germany,FC Augsburg
Bardsley,72,Scotland,Burnley
Oztunali,74,Germany,FSV Mainz 05
Ben Haim,72,Israel,Sparta Praha
Martinez,72,Argentina,Union de Santa Fe
Sanchez,71,Mexico,Guadalajara
Martial,84,France,Manchester United
Kashia,75,Georgia,San Jose Earthquakes
Capoue,79,France,Watford
Schick,77,Czech Republic,Roma
Simon,76,Nigeria,Levante UD
Le Tallec,74,France,Montpellier HSC
Hahn,73,Germany,FC Augsburg
Areola,81,France,Paris Saint-Germain
De Laet,72,Belgium,Melbourne City FC
Pyatov,77,Ukraine,Shakhtar Donetsk
Maras,72,Serbia,GD Chaves
Maignan,76,France,LOSC Lille
Diamanka,74,Senegal,CD Numancia
Padt,75,Netherlands,FC Groningen
Caballero,75,Argentina,Chelsea
Ulloa,73,Argentina,Pachuca
Gutierrez,72,Chile,CD Palestino
Gulde,75,Germany,SC Freiburg
Yokuslu,77,Turkey,RC Celta
Lukebakio,75,Belgium,Fortuna Dusseldorf
Muto,76,Japan,Newcastle United
Delgado,72,Argentina,Defensa y Justicia
Karsdorp,75,Netherlands,Roma
Britos,74,Uruguay,Watford
Bebou,77,Togo,Hannover 96
Delaine,72,France,FC Metz
Ramirez,79,Uruguay,Sampdoria
Villar,77,Paraguay,Paraguay
Calik,72,Turkey,Galatasaray SK
Sorg,73,Germany,Hannover 96
